baker,series,episode,technical,result,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Louise,7,4,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,4,NA,NA,NA,NA,NA,NA,NA,NA
Andrew,7,5,6,IN,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
Benjamina,7,5,5,IN,Ebuehi,23,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
Jane,7,5,1,IN,Beedle,61,Garden designer,Beckenham,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
Rav,7,5,8,IN,Bansal,28,Student support,Erith,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
Selasi,7,5,3,IN,Gbormittah,30,Client service associate,London,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
Tom,7,5,4,IN,Gilliford,26,Project engagement manager,Rochdale,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
Val,7,5,7,OUT,Stones,66,"Semi-retired, Substitute teacher",Yeovil,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
Candice,7,5,2,STAR BAKER,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
Kate,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Andrew,7,6,6,IN,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
Benjamina,7,6,2,IN,Ebuehi,23,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
Candice,7,6,5,IN,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
Jane,7,6,4,IN,Beedle,61,Garden designer,Beckenham,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar
Selasi,7,6,7,IN,Gbormittah,30,Client service associate,London,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake
Rav,7,6,3,OUT,Bansal,28,Student support,Erith,Mandarin Margarita Meringue Pie,Blossom Cake
Tom,7,6,1,STAR BAKER,Gilliford,26,Project engagement manager,Rochdale,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake
Kate,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Val,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Benjamina,7,7,3,IN,Ebuehi,23,Teaching assistant,South London,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
Candice,7,7,2,IN,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
Jane,7,7,4,IN,Beedle,61,Garden designer,Beckenham,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
Selasi,7,7,6,IN,Gbormittah,30,Client service associate,London,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
Tom,7,7,5,OUT,Gilliford,26,Project engagement manager,Rochdale,Millionaire's Roulade,Hipster Picnic
Andrew,7,7,1,STAR BAKER,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
Kate,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Rav,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Val,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Andrew,7,8,2,IN,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
Jane,7,8,5,IN,Beedle,61,Garden designer,Beckenham,Tudor Rose Pies,Swans
Selasi,7,8,3,IN,Gbormittah,30,Client service associate,London,Bouquet of Flowers,Fruity Tudor Marchpane
Benjamina,7,8,4,OUT,Ebuehi,23,Teaching assistant,South London,Mexican Adventure,Tudor Garden
Candice,7,8,1,STAR BAKER,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Cheesy Cheeky Fish Pies,Peacock
Kate,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Rav,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Tom,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Val,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Candice,7,9,3,IN,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
Jane,7,9,1,IN,Beedle,61,Garden designer,Beckenham,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies
Selasi,7,9,4,OUT,Gbormittah,30,Client service associate,London,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies
Andrew,7,9,2,STAR BAKER,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
Benjamina,7,9,NA,NA,NA,NA,NA,NA,NA,NA
Kate,7,9,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,9,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,9,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,9,NA,NA,NA,NA,NA,NA,NA,NA
Rav,7,9,NA,NA,NA,NA,NA,NA,NA,NA
Tom,7,9,NA,NA,NA,NA,NA,NA,NA,NA
Val,7,9,NA,NA,NA,NA,NA,NA,NA,NA
Andrew,7,10,1,Runner-up,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
Jane,7,10,3,Runner-up,Beedle,61,Garden designer,Beckenham,"Red, White and Blue Meringue Crown",Family Favourites Feast
Candice,7,10,2,WINNER,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
Benjamina,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Kate,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Rav,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Selasi,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Tom,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Val,7,10,NA,NA,NA,NA,NA,NA,NA,NA
Chris,8,1,12,IN,Geiger,50,Software developer,Bristol,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake
Flo,8,1,9,IN,Atkins,71,Retired,Merseyside,Citrus Layer Cake,'One in a Melon' Cake
James,8,1,2,IN,Hillery,46,Banker,"Brentwood, Essex","Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake
Julia,8,1,3,IN,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Courgette and Lemon Cake,'Russian Doll' Cake
Kate,8,1,1,IN,Lyon,29,Health and safety inspector,Merseyside,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake
Liam,8,1,8,IN,Charles,19,Student,North London,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake
Sophie,8,1,5,IN,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake
Stacey,8,1,11,IN,Hart,42,Former school teacher,"Radlett, Hertfordshire",Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake
Tom,8,1,7,IN,Hetherington,29,Architect,Edinburgh,Gilded Pear and Cardamom Cake,'Stack of Books' Cake
Yan,8,1,4,IN,Tsou,46,Laboratory research scientist,North London,Windfall Apple Crumble Cake,'Banana-ramen' Cake
Peter,8,1,10,OUT,Abatan,52,IT programme manager,"Southend, Essex",Coconut Cake,'Bread on a Breadboard' Cake
Steven,8,1,6,STAR BAKER,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Bonfire Night Cake,'A Baker's Lunch' Cake
Flo,8,2,10,IN,Atkins,71,Retired,Merseyside,Gin Jam Butties,'Pick My Bones' Game
James,8,2,3,IN,Hillery,46,Banker,"Brentwood, Essex",Rhubarb and Custard Whirls,'Coppit' Game
Julia,8,2,4,IN,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game
Kate,8,2,8,IN,Lyon,29,Health and safety inspector,Merseyside,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game
Liam,8,2,7,IN,Charles,19,Student,North London,Coffee Malted Pecan Shorties,'Classroom Classics' Game
Sophie,8,2,2,IN,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game
Stacey,8,2,9,IN,Hart,42,Former school teacher,"Radlett, Hertfordshire",Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game
Tom,8,2,5,IN,Hetherington,29,Architect,Edinburgh,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game
Yan,8,2,1,IN,Tsou,46,Laboratory research scientist,North London,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
Chris,8,2,11,OUT,Geiger,50,Software developer,Bristol,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game
Steven,8,2,6,STAR BAKER,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Amarpressi Biscuits,'Check Bake' Game
Peter,8,2,NA,NA,NA,NA,NA,NA,NA,NA
James,8,3,9,IN,Hillery,46,Banker,"Brentwood, Essex",Nordic Teacakes,'Owl in the Woods' Bread Sculpture
Kate,8,3,10,IN,Lyon,29,Health and safety inspector,Merseyside,Blueberry Buns,'Kraken' Bread Sculpture
Liam,8,3,5,IN,Charles,19,Student,North London,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture
Sophie,8,3,6,IN,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Tagine Teacakes,'Picnic Basket' Bread Sculpture
Stacey,8,3,1,IN,Hart,42,Former school teacher,"Radlett, Hertfordshire",Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture
Steven,8,3,3,IN,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture
Tom,8,3,4,IN,Hetherington,29,Architect,Edinburgh,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture
Yan,8,3,8,IN,Tsou,46,Laboratory research scientist,North London,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
Flo,8,3,7,OUT,Atkins,71,Retired,Merseyside,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture
Julia,8,3,2,STAR BAKER,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture
Chris,8,3,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,3,NA,NA,NA,NA,NA,NA,NA,NA
James,8,4,2,IN,Hillery,46,Banker,"Brentwood, Essex",'Windy City' Millionaire Shortbreads,Nutty Caramel Cake
Julia,8,4,9,IN,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake
Liam,8,4,3,IN,Charles,19,Student,North London,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake
Sophie,8,4,4,IN,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake
Stacey,8,4,1,IN,Hart,42,Former school teacher,"Radlett, Hertfordshire",Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake
Steven,8,4,7,IN,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake
Yan,8,4,8,IN,Tsou,46,Laboratory research scientist,North London,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
Tom,8,4,5,OUT,Hetherington,29,Architect,Edinburgh,Stem Ginger Caramel Shortbreads,Hummingbird Cake
Kate,8,4,6,STAR BAKER,Lyon,29,Health and safety inspector,Merseyside,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake
Chris,8,4,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,4,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,4,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,5,3,IN,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine
Kate,8,5,8,IN,Lyon,29,Health and safety inspector,Merseyside,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine
Liam,8,5,2,IN,Charles,19,Student,North London,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine
Stacey,8,5,4,IN,Hart,42,Former school teacher,"Radlett, Hertfordshire",Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
Steven,8,5,5,IN,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
Yan,8,5,6,IN,Tsou,46,Laboratory research scientist,North London,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
James,8,5,7,OUT,Hillery,46,Banker,"Brentwood, Essex",Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine
Sophie,8,5,1,STAR BAKER,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
Chris,8,5,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,5,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,5,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,5,NA,NA,NA,NA,NA,NA,NA,NA
Kate,8,6,5,IN,Lyon,29,Health and safety inspector,Merseyside,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
Sophie,8,6,2,IN,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
Stacey,8,6,6,IN,Hart,42,Former school teacher,"Radlett, Hertfordshire",'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
Steven,8,6,3,IN,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",'Fleetwood Mac' Decorative Pies,Christmas Pie
Yan,8,6,1,IN,Tsou,46,Laboratory research scientist,North London,'πr2' Decorative Pies,Chequerboard Pie
Julia,8,6,7,OUT,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
Liam,8,6,4,STAR BAKER,Charles,19,Student,North London,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie
Chris,8,6,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,6,NA,NA,NA,NA,NA,NA,NA,NA
James,8,6,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,6,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,6,NA,NA,NA,NA,NA,NA,NA,NA
Kate,8,7,6,IN,Lyon,29,Health and safety inspector,Merseyside,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle
Liam,8,7,2,IN,Charles,19,Student,North London,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle
Sophie,8,7,3,IN,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
Stacey,8,7,4,IN,Hart,42,Former school teacher,"Radlett, Hertfordshire",My All Time Favourite Desserts,Pastry Surprise
Yan,8,7,5,OUT,Tsou,46,Laboratory research scientist,North London,Cannoli Cocktails,Canadian-Style Sfogliatelle
Steven,8,7,1,STAR BAKER,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Italian Style Cannoli,'Sicilian-style' Sfogliatelle
Chris,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,7,NA,NA,NA,NA,NA,NA,NA,NA
James,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,7,NA,NA,NA,NA,NA,NA,NA,NA
Kate,8,8,2,IN,Lyon,29,Health and safety inspector,Merseyside,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake
Sophie,8,8,4,IN,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
Steven,8,8,1,IN,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
Liam,8,8,5,OUT,Charles,19,Student,North London,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake
Stacey,8,8,3,STAR BAKER,Hart,42,Former school teacher,"Radlett, Hertfordshire",Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
Chris,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,8,NA,NA,NA,NA,NA,NA,NA,NA
James,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Yan,8,8,NA,NA,NA,NA,NA,NA,NA,NA
Kate,8,9,4,IN,Lyon,29,Health and safety inspector,Merseyside,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece
Steven,8,9,3,IN,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece
Stacey,8,9,2,OUT,Hart,42,Former school teacher,"Radlett, Hertfordshire",'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece
Sophie,8,9,1,STAR BAKER,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece
Chris,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,9,NA,NA,NA,NA,NA,NA,NA,NA
James,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Liam,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Yan,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Kate,8,10,3,Runner-up,Lyon,29,Health and safety inspector,Merseyside,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
Steven,8,10,1,Runner-up,Carter-Bailey,34,Marketer,"Watford, Hertfordshire","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
Sophie,8,10,2,WINNER,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
Chris,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,10,NA,NA,NA,NA,NA,NA,NA,NA
James,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Liam,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Stacey,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Yan,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Antony,9,1,12,IN,NA,NA,NA,NA,NA,NA
Briony,9,1,2,IN,NA,NA,NA,NA,NA,NA
Dan,9,1,4,IN,NA,NA,NA,NA,NA,NA
Jon,9,1,5,IN,NA,NA,NA,NA,NA,NA
Karen,9,1,6,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,1,10,IN,NA,NA,NA,NA,NA,NA
Luke,9,1,8,IN,NA,NA,NA,NA,NA,NA
Rahul,9,1,7,IN,NA,NA,NA,NA,NA,NA
Ruby,9,1,1,IN,NA,NA,NA,NA,NA,NA
Terry,9,1,9,IN,NA,NA,NA,NA,NA,NA
Imelda,9,1,11,OUT,NA,NA,NA,NA,NA,NA
Manon,9,1,3,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,2,9,IN,NA,NA,NA,NA,NA,NA
Briony,9,2,5,IN,NA,NA,NA,NA,NA,NA
Dan,9,2,3,IN,NA,NA,NA,NA,NA,NA
Jon,9,2,1,IN,NA,NA,NA,NA,NA,NA
Karen,9,2,11,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,2,4,IN,NA,NA,NA,NA,NA,NA
Manon,9,2,6,IN,NA,NA,NA,NA,NA,NA
Ruby,9,2,10,IN,NA,NA,NA,NA,NA,NA
Terry,9,2,8,IN,NA,NA,NA,NA,NA,NA
Luke,9,2,7,OUT,NA,NA,NA,NA,NA,NA
Rahul,9,2,2,STAR BAKER,NA,NA,NA,NA,NA,NA
Imelda,9,2,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,3,9,IN,NA,NA,NA,NA,NA,NA
Dan,9,3,6,IN,NA,NA,NA,NA,NA,NA
Jon,9,3,2,IN,NA,NA,NA,NA,NA,NA
Karen,9,3,5,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,3,10,IN,NA,NA,NA,NA,NA,NA
Manon,9,3,3,IN,NA,NA,NA,NA,NA,NA
Ruby,9,3,7,IN,NA,NA,NA,NA,NA,NA
Terry,9,3,1,IN,NA,NA,NA,NA,NA,NA
Antony,9,3,8,OUT,NA,NA,NA,NA,NA,NA
Rahul,9,3,4,STAR BAKER,NA,NA,NA,NA,NA,NA
Imelda,9,3,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,3,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,4,NA,[a],NA,NA,NA,NA,NA,NA
Briony,9,4,5,IN,NA,NA,NA,NA,NA,NA
Jon,9,4,3,IN,NA,NA,NA,NA,NA,NA
Karen,9,4,7,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,4,6,IN,NA,NA,NA,NA,NA,NA
Manon,9,4,8,IN,NA,NA,NA,NA,NA,NA
Rahul,9,4,4,IN,NA,NA,NA,NA,NA,NA
Ruby,9,4,2,IN,NA,NA,NA,NA,NA,NA
Dan,9,4,1,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,5,6,IN,NA,NA,NA,NA,NA,NA
Dan,9,5,2,IN,NA,NA,NA,NA,NA,NA
Jon,9,5,7,IN,NA,NA,NA,NA,NA,NA
Manon,9,5,5,IN,NA,NA,NA,NA,NA,NA
Rahul,9,5,3,IN,NA,NA,NA,NA,NA,NA
Ruby,9,5,1,IN,NA,NA,NA,NA,NA,NA
Karen,9,5,9,OUT,NA,NA,NA,NA,NA,NA
Terry,9,5,8,OUT,NA,NA,NA,NA,NA,NA
Kim-Joy,9,5,4,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,6,2,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,6,5,IN,NA,NA,NA,NA,NA,NA
Manon,9,6,4,IN,NA,NA,NA,NA,NA,NA
Rahul,9,6,3,IN,NA,NA,NA,NA,NA,NA
Ruby,9,6,7,IN,NA,NA,NA,NA,NA,NA
Dan,9,6,6,OUT,NA,NA,NA,NA,NA,NA
Briony,9,6,1,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,7,5,IN,NA,NA,NA,NA,NA,NA
Manon,9,7,2,IN,NA,NA,NA,NA,NA,NA
Rahul,9,7,1,IN,NA,NA,NA,NA,NA,NA
Ruby,9,7,3,IN,NA,NA,NA,NA,NA,NA
Jon,9,7,4,OUT,NA,NA,NA,NA,NA,NA
Kim-Joy,9,7,6,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,8,1,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,8,2,IN,NA,NA,NA,NA,NA,NA
Rahul,9,8,5,IN,NA,NA,NA,NA,NA,NA
Manon,9,8,4,OUT,NA,NA,NA,NA,NA,NA
